ParName   Value   Gradient
selparm[114]      1.37551 -5.15775e-006
selparm[115]     -2.10351 -3.99655e-006
selparm[116]    0.0974328 8.35331e-006
selparm[117]     0.256026 -1.43641e-005
selparm[118]     0.314644 1.44202e-006
selparm[119]     0.993551 -9.08356e-005
selparm[120]     0.993513 7.37218e-006
selparm[121]     0.999592 -2.38677e-005
selparm[122]     -2.45754  -0.00356355
selparm[123]      3.73801  -0.00124897
selparm[124]      7.52929 -0.000190917
selparm[125]      5.10203 -9.77652e-006
selparm[126]      5.84152 -1.54317e-005
selparm[127]     -3.36452 -5.64536e-005
selparm[128]      3.89471 -3.77535e-005
selparm[129]     -4.58654 -1.65911e-005
selparm[130]     0.376852 2.24726e-006
selparm[131]     0.103394 1.22107e-005
selparm[132]   -0.0324122 -4.51293e-005
selparm[133]     0.998597 3.80116e-005
selparm[134]     0.915459 -1.04856e-005
selparm[135]     0.996603 -1.17336e-005
selparm[136]     -5.21322  -0.00598783
selparm[137]     -7.57404  -0.00172641
selparm[138]     0.311654 -0.000333041
selparm[139]      3.03977 -4.92579e-005
selparm[140]      2.51238 -3.93912e-005
selparm[141]     -1.62557 2.75026e-005
selparm[142]     -1.19822 -0.000123661
selparm[143]    -0.406987 6.96876e-005
selparm[144]     0.620676 -3.93429e-005
selparm[145]     0.347404 -4.79118e-005
selparm[146]     0.262446 -1.31625e-005
selparm[147]     0.999907 1.53169e-005
selparm[148]     0.999752 2.86024e-005
selparm[149]            1 -4.8524e-005
