Area,Bio_Pattern,Gender,BirthSeas,SubMorph,Morph,Yr,Seas,Time,Beg/Mid,Era,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,1,1,1,1,1,1899,1,1899.5,M,TIME,6814.42,5924.19,5150.24,4476.91,3890.09,3377.6,2929.84,2539.38,2199.96,1905.71,1651.01,1430.63,1239.95,1074.92,932.061,808.369,701.245,608.45,528.048,458.37,397.971,345.607,300.198,260.812,226.641,196.981,171.224,148.847,129.399,112.494,97.798,85.0224,73.9158,64.2602,55.8659,48.5682,42.2237,36.7081,31.9129,27.7442,184.645
1,1,1,1,1,1,1900,1,1900,B,TIME,7308.6,6353.77,5523.72,4802.02,4173.8,3625.59,3146.35,2727.76,2363.25,2046.9,1772.96,1535.96,1330.94,1153.54,1000.01,867.11,752.037,652.379,566.05,491.251,426.428,370.238,321.523,279.279,242.638,210.847,183.254,159.293,138.475,120.382,104.655,90.983,79.0976,68.765,59.7822,51.9729,45.1837,39.2814,34.1501,29.6891,197.589
1,1,1,1,1,1,1900,1,1900.5,M,TIME,6814.55,5924.26,5150.25,4476.87,3889.92,3377.2,2929.12,2538.31,2198.58,1904.09,1649.23,1428.76,1238.05,1073.03,930.218,806.592,699.55,606.847,526.543,456.965,396.666,344.398,299.083,259.787,225.703,196.131,170.464,148.175,128.81,111.98,97.3505,84.633,73.5771,63.9656,55.6098,48.3455,42.0302,36.5398,31.7666,27.617,183.799
1,1,1,1,1,1,1901,1,1901,B,TIME,7308.82,6353.89,5523.78,4802.03,4173.73,3625.35,3145.83,2726.88,2362.02,2045.38,1771.25,1534.13,1329.04,1151.64,998.14,865.295,750.297,650.726,564.493,489.794,425.072,368.982,320.361,278.209,241.656,209.95,182.443,158.567,137.833,119.82,104.165,90.5561,78.7262,68.4419,59.5013,51.7286,44.9713,39.0967,33.9896,29.5495,196.66
1,1,1,1,1,1,1901,1,1901.5,M,TIME,6814.75,5924.37,5150.3,4476.85,3889.77,3376.82,2928.41,2537.25,2197.19,1902.46,1647.44,1426.89,1236.14,1071.14,928.368,804.809,697.85,605.239,525.034,455.557,395.359,343.189,297.968,258.762,224.763,195.275,169.69,147.483,128.199,111.444,96.8833,84.2261,73.223,63.6577,55.342,48.1127,41.8277,36.3638,31.6136,27.484,182.913
1,1,1,1,1,1,1902,1,1902,B,TIME,7309.12,6354.08,5523.89,4802.08,4173.69,3625.13,3145.32,2726.01,2360.8,2043.87,1769.53,1532.29,1327.15,1149.73,996.263,863.474,748.551,649.069,562.932,488.333,423.712,367.722,319.2,277.139,240.674,209.052,181.624,157.828,137.174,119.237,103.654,90.1109,78.3385,68.1046,59.2079,51.4735,44.7495,38.9039,33.8219,29.4038,195.69
1,1,1,1,1,1,1902,1,1902.5,M,TIME,6815.03,5924.55,5150.4,4476.87,3889.65,3376.45,2927.71,2536.19,2195.81,1900.84,1645.65,1425.01,1234.23,1069.24,926.514,803.021,696.144,603.627,523.52,454.144,394.048,341.978,296.852,257.736,223.824,194.416,168.909,146.778,127.57,110.889,96.3972,83.8022,72.8539,63.3365,55.0627,47.8698,41.6165,36.1802,31.454,27.3452,181.99
1,1,1,1,1,1,1903,1,1903,B,TIME,7309.52,6354.34,5524.05,4802.17,4173.68,3624.94,3144.83,2725.15,2359.58,2042.36,1767.81,1530.44,1325.24,1147.82,994.381,861.647,746.801,647.406,561.366,486.868,422.349,366.46,318.035,276.069,239.692,208.154,180.805,157.083,136.502,118.639,103.126,89.6484,77.9351,67.7534,58.9023,51.2077,44.5184,38.7029,33.6472,29.2519,194.679
1,1,1,1,1,1,1903,1,1903.5,M,TIME,6815.4,5924.79,5150.55,4476.92,3889.55,3376.1,2927.02,2535.13,2194.43,1899.21,1643.86,1423.13,1232.32,1067.34,924.654,801.228,694.434,602.01,522.003,452.728,392.734,340.764,295.735,256.711,222.884,193.558,168.127,146.068,126.93,110.32,95.8946,83.3621,72.4702,63.0024,54.772,47.617,41.3967,35.989,31.2878,27.2007,181.028
1,1,1,1,1,1,1904,1,1904,B,TIME,7310.02,6354.69,5524.28,4802.3,4173.7,3624.77,3144.35,2724.3,2358.36,2040.84,1766.09,1528.6,1323.34,1145.91,992.494,859.817,745.045,645.74,559.796,485.399,420.983,365.195,316.869,274.997,238.71,207.256,179.985,156.337,135.826,118.03,102.584,89.1704,77.5167,67.3886,58.5847,50.9313,44.278,38.4939,33.4655,29.0939,193.628
1,1,1,1,1,1,1904,1,1904.5,M,TIME,6815.87,5925.11,5150.76,4477.02,3889.49,3375.78,2926.35,2534.09,2193.05,1897.58,1642.06,1421.24,1230.4,1065.43,922.79,799.431,692.72,600.389,520.481,451.309,391.417,339.547,294.615,255.684,221.945,192.7,167.345,145.358,126.287,109.741,95.3793,82.9079,72.0727,62.6558,54.4702,47.3544,41.1683,35.7905,31.1152,27.0506,180.029
1,1,1,1,1,1,1905,1,1905,B,TIME,7310.64,6355.12,5524.58,4802.49,4173.77,3624.63,3143.89,2723.46,2357.15,2039.33,1764.37,1526.75,1321.43,1143.99,990.603,857.982,743.286,644.07,558.223,483.928,419.613,363.927,315.7,273.924,237.727,206.358,179.166,155.592,135.149,117.418,102.033,88.6807,77.0852,67.0109,58.2554,50.6447,44.0286,38.277,33.2769,28.9299,192.536
1,1,1,1,1,1,1905,1,1905.5,M,TIME,6816.45,5925.52,5151.03,4477.17,3889.46,3375.48,2925.7,2533.05,2191.68,1895.95,1640.27,1419.35,1228.48,1063.52,920.922,797.63,691.002,598.765,518.957,449.887,390.097,338.328,293.493,254.656,221.005,191.842,166.564,144.647,125.642,109.158,94.8563,82.4428,71.6629,62.2973,54.1576,47.0823,40.9316,35.5846,30.9361,26.8949,178.993
